id,name,username,party
2914515430,Tom Emmer,GOPMajorityWhip,R
1075517806551154689,Rep. Veronica Escobar,RepEscobar,D
249348006,Rep. Anna G. Eshoo,RepAnnaEshoo,D
817076257770835968,Adriano Espaillat,RepEspaillat,D
854715071116849157,Rep. Ron Estes,RepRonEstes,R
90639372,Congressman Dwight Evans🟧,RepDwightEvans,D
1602788004749344768,Congressman Mike Ezell,RepEzell,R
1343258042704527362,Rep. Pat Fallon,RepPatFallon,R
1345135363761852416,Rep. Randy Feenstra,RepFeenstra,R
806583915012046854,Congressman Drew Ferguson,RepDrewFerguson,R
1563316176717246464,Congressman Brad Finstad,RepFinstad,
1344375287484723205,Rep. Michelle Fischbach,RepFischbach,R
1004891731,Rep. Scott Fitzgerald,RepFitzgerald,R
816303263586914304,Rep. Brian Fitzpatrick 🇺🇸,RepBrianFitz,R
235190657,Chuck Fleischmann,RepChuck,R
1075904377221722113,Rep. Lizzie Fletcher,RepFletcher,D
1547025742529167360,Rep. Mike Flood,USRepMikeFlood,R
1080509366,Congressman Bill Foster,RepBillFoster,D
1611471154732060692,Congresswoman Valerie Foushee,ValerieFoushee,D
16256269,Virginia Foxx,virginiafoxx,R
1077121945,Rep. Lois Frankel,RepLoisFrankel,D
1343664721384398849,Congressman Scott Franklin,RepFranklin,R
1608494113174822925,Congressman Maxwell Alejandro Frost,RepMaxwellFrost,D
1603514304354983941,Congressman Russell Fry,RepRussellFry,R
1078741899572240384,Rep. Russ Fulcher,RepRussFulcher,R
818948638890217473,Rep. Matt Gaetz,RepMattGaetz,R
815966620300480514,Rep. Gallagher Press Office,RepGallagher,R
2966570782,Ruben Gallego,RepRubenGallego,D
88806753,John Garamendi,RepGaramendi,D
1344349650447433729,Rep. Andrew Garbarino,RepGarbarino,R
1262531473057423361,Rep. Mike Garcia,RepMikeGarcia,R
1602792195878047744,Congressman Robert Garcia,RepRobertGarcia,D
1080587263132733442,Rep. Sylvia Garcia,RepSylviaGarcia,D
1082427779583541248,Congressman Chuy GarcÃ­a,RepChuyGarcia,D
1343679195034103808,Rep. Carlos A. Gimenez,RepCarlos,R
1080891667308298240,Congressman Jared Golden,RepGolden,D
1610019555371372544,Rep. Dan Goldman,RepDanGoldman,D
2371339658,Rep. Jimmy Gomez,RepJimmyGomez,D
1343627416120532992,Rep. Tony Gonzales,RepTonyGonzales,R
818536152588238849,Rep. Vicente Gonzalez,RepGonzalez,D
819744763020775425,Jenniffer GonzÃ¡lez,RepJenniffer,R
1345536897838436353,Congressman Bob Good,RepBobGood,R
226639880,Guillaume,tx,
240760644,"Rep. Paul Gosar, DDS",RepGosar,R
815310506596691968,Rep Josh Gottheimer,RepJoshG,D
161743731,Rep. Kay Granger,RepKayGranger,R
2951574214,Rep. Garret Graves,RepGarretGraves,R
29766367,Rep. Sam Graves,RepSamGraves,R
1080477288955826176,Rep. Mark Green,RepMarkGreen,R
156333623,Congressman Al Green,RepAlGreen,D
1344356576786866176,Rep. Marjorie Taylor Greene🇺🇸,RepMTG,R
234057152,Morgan Griffith,RepMGriffith,R
28602948,Raul M. Grijalva,RepRaulGrijalva,D
2976606250,Rep. Glenn Grothman,RepGrothman,R
1081243468327018496,Congressman Michael Guest,RepMichaelGuest,R
1908143071,Rep. Brett Guthrie,RepGuthrie,R
1578455747263766528,Rep. Harriet Hageman,RepHageman,R
1080851152151953410,Rep. Josh Harder,RepJoshHarder,D
960962340,"Rep. Andy Harris, MD",RepAndyHarrisMD,R
1345787285179162624,Rep. Diana Harshbarger,RepHarshbarger,R
1082086081238102018,Jahana Hayes,RepJahanaHayes,D
1067818539179024386,Congressman Kevin Hern,repkevinhern,R
843636970538618880,Rep. Clay Higgins,RepClayHiggins,R
33576489,Brian Higgins,RepBrianHiggins,D
2953974395,French Hill,RepFrenchHill,R
1143841,ct,ct,
1340783304304410625,Ashley Hinson,RepAshleyHinson,R
389840566,Rep. Steven Horsford,RepHorsford,D
1603694348725526528,Congresswoman Erin Houchin,RepHouchin,R
1052896620797460481,Chrissy Houlahan,RepHoulahan,D
22012091,Steny Hoyer,RepStenyHoyer,D
1612865196489412608,Val Hoyle,RepValHoyle,
935033864,Rep. Richard Hudson,RepRichHudson,R
1071102246,Rep. Jared Huffman,RepHuffman,D
233949261,Rep. Bill Huizenga,RepHuizenga,R
63650107,Rep. Darrell Issa,repdarrellissa,R
1610111693836664834,Rep. Glenn Ivey,RepGlennIvey,D
1615455071801679874,Rep. Jonathan L. Jackson,rep_jackson,D
1611423475775770628,Rep. Jeff Jackson,RepJeffJackson,D
1341903465610686464,Ronny Jackson,RepRonnyJackson,R
80612021,Sheila Jackson Lee,JacksonLeeTX18,D
1345103905869455361,Congresswoman Sara Jacobs,RepSaraJacobs,D
815733290955112448,Rep. Pramila Jayapal,RepJayapal,D
467823431,Hakeem Jeffries,RepJeffries,D
24745957,Rep. Hank Johnson,RepHankJohnson,D
827279765287559171,Speaker Mike Johnson,SpeakerJohnson,R
1074782372594413569,Rep. Dusty Johnson,RepDustyJohnson,R
18166778,Rep. Jim Jordan,Jim_Jordan,R
976969338,Dave Joyce,RepDaveJoyce,R
1082311988926124036,"John Joyce, M.D.",RepJohnJoyce,R
1613235716669988871,Congresswoman Sydney Kamlager-Dove,RepKamlagerDove,D
581141508,Marcy Kaptur,RepMarcyKaptur,D
1607422757670641665,Congressman Tom Kean,CongressmanKean,R
232992031,Congressman Bill Keating,USRepKeating,D
1339931490,Robin Kelly,RepRobinKelly,D
3317799825,Trent Kelly,RepTrentKelly,R
935368364,Rep. Mike Kelly,MikeKellyPA,R
816298918468259841,Rep. Ro Khanna,RepRoKhanna,D
1045110018,Rep. Dan Kildee,RepDanKildee,D
1610356961475809280,Rep. Kevin Kiley,RepKiley,R
1058917562,Rep. Derek Kilmer,RepDerekKilmer,D
1344677401465397249,Young Kim,RepYoungKim,R
1078771848882593793,Rep. Andy Kimâ€™s Office,RepAndyKimNJ,D
814179031956488192,Congressman Raja Krishnamoorthi,CongressmanRaja,D
1058717720,Ann McLane Kuster,RepAnnieKuster,D
816012124505931780,Rep. David Kustoff,RepDavidKustoff,R
3686482216,Darin LaHood,RepLaHood,R
1588581125177442305,Congressman Nick LaLota,RepLaLota,R
1069124515,Rep. Doug LaMalfa,RepLaMalfa,R
584012853,Rep. Doug Lamborn,RepDLamborn,R
1613637172346642432,Congressman Greg Landsman,RepGregLandsman,D
1611396007111057408,Congressman Nick Langworthy,RepLangworthy,R
404132211,Rep. Rick Larsen,RepRickLarsen,D
50452197,Rep. John Larson,RepJohnLarson,D
15394954,U.S. Rep. Bob Latta,boblatta,R
1345850704800468993,Rep. Jake LaTurner,RepLaTurner,R
1590372047015886853,Congressman Mike Lawler,RepMikeLawler,R
248735463,Rep. Barbara Lee,RepBarbaraLee,D
1608230657796227072,Congresswoman Laurel Lee,RepLaurelLee,R
1079061579973439488,Congresswoman Susie Lee,RepSusieLee,D
999285287812558848,Congresswoman Summer Lee,RepSummerLee,D
1345147845926670337,Rep. Teresa Leger FernÃ¡ndez,RepTeresaLF,D
996094929733652481,Congresswoman Debbie Lesko,RepDLesko,R
1382395679700439041,Congresswoman Julia Letlow,RepJuliaLetlow,
1072134139560620033,Rep. Mike Levin,RepMikeLevin,D
3044993235,Rep. Ted Lieu,RepTedLieu,D
267938462,Rep. Zoe Lofgren,RepZoeLofgren,D
2914163523,Rep. Barry Loudermilk,RepLoudermilk,R
242772524,Frank Lucas,RepFrankLucas,R
1849261916,Blaine Luetkemeyer,RepBlaine,R
1610230835289923584,Rep. Anna Paulina Luna,RepLuna,R
310310133,Rep. Stephen Lynch,RepStephenLynch,D
1343597700542038017,Rep. Nancy Mace,RepNancyMace,R
1615455207713808384,Congressman Seth Magaziner,Rep_Magaziner,D
1344750588026900481,Office of Rep. Nicole Malliotakis,RepMalliotakis,R
1345825008887721986,Tracey Mann,RepMann,R
1337115670161608712,Congresswoman Kathy Manning,RepKManning,D
975200486,Thomas Massie,RepThomasMassie,R
814103950404239360,Rep. Brian Mast,RepBrianMast,R
38254095,Rep. Doris Matsui,DorisMatsui,D
1082380458976051202,Rep. Lucy McBath,RepLucyMcBath,D
19739126,Kevin McCarthy,SpeakerMcCarthy,R
26424123,Michael McCaul,RepMcCaul,R
1633610542584659970,Congresswoman Jennifer McClellan,RepMcClellan,D
1344032292432437248,Representative Lisa McClain,RepLisaMcClain,R
50152441,Tom McClintock,RepMcClintock,R
516880804,Rep. Betty McCollum,BettyMcCollum04,D
1610689483929780225,"Congressman Rich McCormick, MBA MD",RepMcCormick,R
1610300298303787008,Rep. Morgan McGarvey,RepMcGarvey,D
242426145,Rep. Jim McGovern,RepMcGovern,D
27676828,Patrick McHenry,PatrickMcHenry,R
22812754,Rep. Gregory Meeks,RepGregoryMeeks,D
1603468242852397057,Rep. Rob Menendez,RepMenendez,D
1051127714,Grace Meng,RepGraceMeng,D
1080574793630527505,Congressman Dan Meuser,RepMeuser,R
1276209702322438148,Kweisi Mfume,RepKweisiMfume,D
1343656635907125250,Rep. Mary Miller,RepMaryMiller,R
1610383926446489600,Congressman Max Miller,RepMaxMiller,R
1081318716573470720,Rep. Carol Miller,RepCarolMiller,R
1345807954604412929,"Rep. Mariannette Miller-Meeks, M.D.",RepMMM,R
1611138873496637440,Rep. Cory Mills 🇺🇸,RepMillsPress,R
1603419749748297728,Rep. Marc Molinaro,RepMolinaroNY19,R
2696643955,Rep. John Moolenaar,RepMoolenaar,R
